trial_id,lr,weight_decay,hidden_dim,dropout,visibility_threshold,label_smoothing,xy_noise_std,joint_dropout,grad_clip_norm,command,status,returncode,best_val_acc,test_loss,test_acc,log_path,sampled_from_full_index
1,0.0003,0.01,256,0.2,0.15,0.05,0.005,0.02,1.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.01 --hidden_dim 256 --dropout 0.2 --visibility_threshold 0.15 --label_smoothing 0.05 --xy_noise_std 0.005 --joint_dropout 0.02 --grad_clip_norm 1.0,ok,0,0.8066666666666666,5.1596,0.73,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_001.log,1701
2,0.0003,0.01,256,0.4,0.1,0.03,0.001,0.05,2.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.01 --hidden_dim 256 --dropout 0.4 --visibility_threshold 0.1 --label_smoothing 0.03 --xy_noise_std 0.001 --joint_dropout 0.05 --grad_clip_norm 2.0,ok,0,0.7666666666666667,0.6878,0.7433,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_002.log,3407
3,0.0003,0.01,384,0.2,0.2,0.05,0.001,0.0,2.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.01 --hidden_dim 384 --dropout 0.2 --visibility_threshold 0.2 --label_smoothing 0.05 --xy_noise_std 0.001 --joint_dropout 0.0 --grad_clip_norm 2.0,ok,0,0.8366666666666667,0.5931,0.7467,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_003.log,6019
4,0.0003,0.01,768,0.15,0.2,0.0,0.01,0.03,0.5,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.01 --hidden_dim 768 --dropout 0.15 --visibility_threshold 0.2 --label_smoothing 0.0 --xy_noise_std 0.01 --joint_dropout 0.03 --grad_clip_norm 0.5,ok,0,0.82,21.6339,0.7733,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_004.log,13112
5,0.0003,0.01,768,0.2,0.15,0.03,0.003,0.03,0.5,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.01 --hidden_dim 768 --dropout 0.2 --visibility_threshold 0.15 --label_smoothing 0.03 --xy_noise_std 0.003 --joint_dropout 0.03 --grad_clip_norm 0.5,ok,0,0.8033333333333333,25.2919,0.7433,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_005.log,13912
6,0.0003,0.01,768,0.4,0.1,0.0,0.001,0.02,1.5,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.01 --hidden_dim 768 --dropout 0.4 --visibility_threshold 0.1 --label_smoothing 0.0 --xy_noise_std 0.001 --joint_dropout 0.02 --grad_clip_norm 1.5,ok,0,0.8266666666666667,0.6135,0.77,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_006.log,15622
7,0.0003,0.007,256,0.15,0.1,0.0,0.003,0.02,2.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.007 --hidden_dim 256 --dropout 0.15 --visibility_threshold 0.1 --label_smoothing 0.0 --xy_noise_std 0.003 --joint_dropout 0.02 --grad_clip_norm 2.0,ok,0,0.8033333333333333,0.632,0.7433,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_007.log,16663
8,0.0003,0.007,256,0.15,0.1,0.05,0.01,0.05,1.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.007 --hidden_dim 256 --dropout 0.15 --visibility_threshold 0.1 --label_smoothing 0.05 --xy_noise_std 0.01 --joint_dropout 0.05 --grad_clip_norm 1.0,ok,0,0.8,0.6828,0.7367,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_008.log,16829
9,0.0003,0.007,384,0.3,0.0,0.1,0.01,0.05,0.5,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.007 --hidden_dim 384 --dropout 0.3 --visibility_threshold 0.0 --label_smoothing 0.1 --xy_noise_std 0.01 --joint_dropout 0.05 --grad_clip_norm 0.5,ok,0,0.8066666666666666,0.6786,0.7533,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_009.log,22780
10,0.0003,0.007,384,0.4,0.1,0.1,0.003,0.03,1.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.007 --hidden_dim 384 --dropout 0.4 --visibility_threshold 0.1 --label_smoothing 0.1 --xy_noise_std 0.003 --joint_dropout 0.03 --grad_clip_norm 1.0,ok,0,0.8033333333333333,0.664,0.76,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_010.log,24025
11,0.0003,0.007,512,0.15,0.0,0.03,0.01,0.05,1.5,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.007 --hidden_dim 512 --dropout 0.15 --visibility_threshold 0.0 --label_smoothing 0.03 --xy_noise_std 0.01 --joint_dropout 0.05 --grad_clip_norm 1.5,ok,0,0.81,1890.3917,0.77,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_011.log,24702
12,0.0003,0.007,768,0.15,0.15,0.05,0.001,0.05,2.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.007 --hidden_dim 768 --dropout 0.15 --visibility_threshold 0.15 --label_smoothing 0.05 --xy_noise_std 0.001 --joint_dropout 0.05 --grad_clip_norm 2.0,ok,0,0.81,0.6485,0.73,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_012.log,29327
13,0.0003,0.005,256,0.15,0.15,0.0,0.003,0.03,1.5,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.005 --hidden_dim 256 --dropout 0.15 --visibility_threshold 0.15 --label_smoothing 0.0 --xy_noise_std 0.003 --joint_dropout 0.03 --grad_clip_norm 1.5,ok,0,0.82,0.6371,0.7433,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_013.log,33306
14,0.0003,0.005,256,0.2,0.2,0.05,0.001,0.05,1.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.005 --hidden_dim 256 --dropout 0.2 --visibility_threshold 0.2 --label_smoothing 0.05 --xy_noise_std 0.001 --joint_dropout 0.05 --grad_clip_norm 1.0,ok,0,0.7933333333333333,0.6526,0.7367,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_014.log,34701
15,0.0003,0.005,256,0.4,0.15,0.03,0.01,0.0,1.5,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.005 --hidden_dim 256 --dropout 0.4 --visibility_threshold 0.15 --label_smoothing 0.03 --xy_noise_std 0.01 --joint_dropout 0.0 --grad_clip_norm 1.5,ok,0,0.7866666666666666,50.8596,0.7333,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_015.log,36466
16,0.0003,0.005,384,0.15,0.15,0.0,0.01,0.03,2.0,/Users/hanyiliu/anaconda3/bin/python /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/train/pose_train_predicted.py --feature_path /Users/hanyiliu/Documents/GitHub/tennis-pose-detection/saved_models/stage3_predicted_keypoints.pt --epochs 50 --batch_size 64 --train_split 0.7 --val_split 0.15 --test_split 0.15 --seed 42 --early_stop_patience 12 --lr 0.0003 --weight_decay 0.005 --hidden_dim 384 --dropout 0.15 --visibility_threshold 0.15 --label_smoothing 0.0 --xy_noise_std 0.01 --joint_dropout 0.03 --grad_clip_norm 2.0,ok,0,0.8233333333333334,0.6307,0.7467,/Users/hanyiliu/Documents/GitHub/tennis-pose-detection/training_outputs/pose_grid_search_logs_20260310_024913/trial_016.log,37435
